,n_fires,ret_pct
2022-12-07,10.0,-0.4411902750398933
2022-12-08,14.0,0.2631912360927746
2022-12-09,20.0,-0.6058782405979346
2022-12-12,7.0,0.002977743269738653
2022-12-13,13.0,0.599279386467999
2022-12-14,18.0,0.2810661073194387
2022-12-15,15.0,-1.3150934355333654
2022-12-16,3.0,-0.792295301794177
2022-12-19,6.0,0.8289956688926514
2022-12-20,5.0,-0.19081205394395617
2022-12-21,6.0,-1.012771964355863
2022-12-27,1.0,0.6533654614990558
2022-12-28,3.0,-0.05405150382313817
2022-12-29,2.0,0.377983170092433
2022-12-30,2.0,-0.471107793689185
2023-01-02,3.0,0.5089583355357918
2023-01-03,8.0,0.192892762485819
2023-01-04,2.0,-1.0399069487028845
2023-01-05,1.0,-0.28154392892826285
2023-01-06,5.0,-0.7375503705446151
2023-01-09,3.0,1.3536251708490266
2023-01-10,2.0,-1.033350475095851
2023-01-11,1.0,-0.10299775022909463
2023-01-12,1.0,-0.209547554088918
2023-01-13,3.0,0.5510095918388247
2023-01-16,2.0,-0.3438847072569362
2023-01-17,1.0,0.8854568511824201
2023-01-18,4.0,0.6206556323560042
2023-01-19,7.0,-0.3165367099256078
2023-01-20,5.0,-0.44289753051891534
2023-01-23,5.0,0.5042276095628795
2023-01-24,4.0,-0.0013798013043020418
2023-01-25,1.0,-1.249297962501228
2023-01-27,1.0,-1.6074246906178757
2023-01-30,1.0,0.25334426073457816
2023-01-31,2.0,0.07479862801675896
2023-02-02,5.0,-0.03349392530399564
2023-02-03,4.0,1.3835596307890219
2023-02-06,3.0,-0.5010133160870178
2023-02-07,1.0,-0.24261514654264627
2023-02-08,2.0,0.8475536424681795
2023-02-09,3.0,0.12170079483646568
2023-02-10,2.0,-0.20649578680046465
2023-02-13,1.0,-0.479375070002519
2023-02-14,1.0,0.89443537049958
2023-02-15,3.0,0.4796470794436125
2023-02-16,4.0,0.11101336008929596
2023-02-17,3.0,-0.5081567689351307
2023-02-20,4.0,-0.5550518480140765
2023-02-21,3.0,-0.10031264929920569
2023-02-22,1.0,-1.5280363131582653
2023-02-23,1.0,-0.2452434977984641
2023-02-24,1.0,-0.2595429723749043
2023-03-01,1.0,0.8492348770636093
2023-03-02,1.0,-0.7392168719804415
2023-03-03,5.0,1.5728598629827895
