ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
BEML,2024-12-06,Common,10.0,True,-8.374166701818474,
BEML,2024-12-11,Common,10.0,False,-6.4411754343363885,
BEML,2025-03-28,Delta,3.0,False,-3.505442197035491,
BEML,2025-04-22,Delta,8.0,False,3.824070223731524,
BEML,2025-04-29,Common,10.0,False,2.757469707445104,
BEML,2025-05-13,Common,9.0,True,10.851234609156979,
BEML,2025-05-14,Common,9.0,False,8.173287754353709,
BEML,2025-05-16,Common,9.0,False,22.29776434634696,
BEML,2025-05-19,Common,9.0,False,15.5637403293174,
BEML,2025-05-26,Common,10.0,False,13.2002326032177,
BEML,2025-05-27,Common,10.0,False,-0.5361365617687741,
BEML,2025-06-04,Common,10.0,False,-0.5221184826239678,
BEML,2025-06-06,Common,10.0,False,-2.352982265088066,
BEML,2025-06-20,Common,10.0,False,-3.548575739299764,
BEML,2025-06-23,Common,10.0,False,-3.3068311003394357,
BEML,2025-07-09,Common,10.0,True,-14.100814987228194,
BEML,2025-07-10,Common,10.0,True,-15.880576813438129,
BEML,2025-09-12,Delta,6.0,True,-2.7830250729511063,
BEML,2025-09-22,Delta,8.0,True,-2.9683795786169753,
BEML,2026-09-02,Common,10.0,False,-3.4208313374008203,
BEML,2026-09-03,Common,10.0,False,-3.2136914354476076,
BEML,2026-09-04,Common,10.0,False,-5.167939040964431,
BERGEPAINT,2024-09-05,Common,10.0,False,2.5730397221565227,
BERGEPAINT,2024-09-10,Common,10.0,False,1.9119319787940459,
BERGEPAINT,2024-09-11,Common,10.0,False,-2.4980138280242925,
BERGEPAINT,2024-09-12,Common,10.0,False,-7.74873446930896,
BHARATFORG,2021-11-08,Delta,7.0,True,-13.811831115629957,0.5703522602943822
BHARATFORG,2021-11-09,Delta,8.0,True,-15.376218717514977,0.6055088566545797
BHARATFORG,2022-03-29,Delta,7.0,True,2.8246564033044708,0.3931184521593911
BHARATFORG,2022-08-01,Common,10.0,False,5.89477021720104,0.1055329413538475
BHARATFORG,2022-08-02,Common,10.0,False,4.529201821697093,-1.2184507029576852
BHARATFORG,2022-08-12,Common,10.0,False,2.145714293449408,4.808669831836743
BHARATFORG,2022-09-05,Common,10.0,True,-6.3330907990525205,-0.3616523632851587
BHARATFORG,2022-09-09,Common,10.0,True,-12.94086570803038,0.6244862704872789
BHARATFORG,2022-09-12,Common,10.0,True,-13.78124993869374,-0.9432318273576712
BHARATFORG,2022-10-25,Common,10.0,True,9.165949700120969,1.6222147408321952
BHARATFORG,2022-10-27,Common,10.0,False,7.1781854933858025,1.1612689500907436
BHARATFORG,2022-10-28,Common,10.0,False,4.963463557327841,0.7013849186405574
BHARATFORG,2022-10-31,Common,10.0,False,4.116680518394844,-0.7948187785259408
BHARATFORG,2022-11-01,Common,10.0,False,2.850564180279247,-0.26255969268179635
BHARATFORG,2022-11-02,Common,10.0,False,2.1271135529853824,-0.4975124378109319
BHARATFORG,2022-11-03,Common,10.0,False,0.7103212262387526,-1.3027348805107364
