group,fresh,swing_pnl,day1_pnl
Common,False,3.7769431043431556,
Common,False,3.0385263763825554,
Common,False,7.688397539599778,
Common,False,-6.477464682086687,
Common,False,6.018328888362023,
Common,False,7.58932462451003,
Common,True,9.591812105082042,
Common,False,-4.656768852241555,
Common,False,-12.03391373966154,
Common,True,6.149083684080492,-2.1899655649121996
Common,False,2.818199463862814,1.9207250106314966
Common,False,0.15414735673429103,-1.788365143950088
Common,False,-23.75405373231837,-3.8258186419817264
Delta,False,13.216158159388058,5.182333575252707
Delta,False,7.1067740736024065,-2.5354030349055923
Common,False,19.755757591002055,2.7105079318495706
Common,False,12.385070197965042,0.2198964084955568
Common,False,10.033053001572888,5.107460646403483
Common,False,4.355124802840771,-1.9405502000956365
Common,False,2.4546175630539624,0.22734012058911457
Common,False,1.6802316925477845,-1.7727661397252903
Common,False,16.78005872701498,1.476971685844175
Common,False,17.33743398953187,3.8609420530886007
Common,False,12.571964174722305,4.066506796298341
Common,False,8.44094319720039,1.3237126395911236
Common,False,7.975463208251621,0.5106748833933583
Common,False,6.895380539418761,-0.4295806104429589
Common,False,5.731680934923777,-0.37136284786905005
Common,False,3.688432364318328,-1.3285125269442144
Common,False,5.721065710499684,2.7885670721688793
Common,False,1.763330399318197,1.1536649151485445
Common,False,-23.218642402027655,-4.135449236033262
Common,False,-23.72737777752342,0.259439001312467
Common,False,-25.820779103438653,-1.0912026977285327
Delta,False,-27.881286221935476,-0.10365588394836145
Delta,True,2.9136670637397444,-3.212289678534952
Common,True,-4.951710599118364,2.897278314310814
Common,False,-9.629702471197554,5.189931281616267
Common,False,-9.006471100189085,3.025644310635678
Delta,False,2.7779137219726024,-0.6055574431558131
Delta,False,8.536795440037782,-5.905598521907907
Delta,False,8.7133939355724,16.753692836128952
Delta,False,-6.172754379027834,6.833962116309111
Common,False,-6.01072650929747,6.735824423979397
Delta,True,-13.954215927147063,7.290590710915756
Delta,True,-0.1596086744005465,0.0315625778058104
Common,True,-12.61221005090043,5.0988518117425
Delta,False,-6.724527681468484,-3.0679387643189004
Delta,False,-8.248800915374533,6.415215825360088
Delta,True,-32.30743701816191,-2.3130043762628616
Delta,True,9.115827008501132,0.14628950853801115
Delta,True,8.407590579450886,1.8436464015201715
Common,False,5.52945788505077,1.406696771307514
Common,False,10.29332636212179,2.545300888627522
Common,False,8.438486236585874,-3.3220759420585666
Common,False,-1.3314253178614677,-2.0319175662242173
Common,False,-3.9575130343919795,1.816498900844632
Common,False,-3.9806291693048834,0.02283400649500944
Common,False,-4.057165406584684,2.543132598336051
Common,False,-8.976265810270412,-6.406017814823361
Delta,True,10.281926586225199,3.671949026384791
Common,False,3.34866269320806,4.2064427583993425
Common,False,-0.14102045996964296,-1.4359196857683276
Common,True,3.092460075632042,0.8409489999494202
Common,True,-1.848153799982044,-0.14341105858606262
Common,False,-1.951620943918353,-2.475889714820134
Common,True,-4.581937001441839,-1.2651862146211168
Common,True,-5.357702927357044,0.028442803904482616
Common,False,-5.963787090524897,-1.482209997562256
Common,True,-12.470559862157627,1.804628783869866
Common,True,-14.836662126064526,-1.1535522277407728
Common,False,-0.6986723637814274,-0.2867879443303578
Delta,True,10.463981570008318,2.383571230317738
Delta,True,12.121418308085152,2.7122452254854768
Delta,False,4.836036112374065,2.4693813642899354
Delta,False,14.659381599975486,-0.9249373755302215
Delta,False,12.904832311107395,1.8833920985281694
Common,False,10.719276782896237,1.4124154005036083
Common,False,7.48893051684143,-0.348231247935904
Common,False,-1.0522263765858852,5.165230756785211
Common,False,-4.876631953599386,2.0483283018085885
Common,False,-7.16592476215413,0.5429012421445556
Common,False,-7.830786829994074,-1.4698015324560165
Common,True,5.5167413436511215,4.053271292024596
Common,False,0.791905914303781,-2.859324039349409
Common,True,-6.303135925436953,-1.7330185049373004
Common,False,-6.750025070442378,-0.1223616798530558
Common,True,1.889540534296552,-1.1605810726691645
Common,False,-5.948989115713276,-1.3044947510571392
Common,False,-6.995984778747455,-1.5815418321237784
